User,Time,Model,Input tokens,Output tokens,Cost,Balance
open-ui,4/16/2026, 11:46:20 AM,image-generation,287,442,0.0729,90665.2824
open-ui,4/14/2026, 7:42:20 AM,viewpoint-polarion,600,88,0.0688,90665.3553
Praveenkumar Karunakaran,4/13/2026, 2:12:59 PM,gemma4:31b,34,2022,0.2056,903.3280
Praveenkumar Karunakaran,4/13/2026, 2:11:00 PM,gemma4:31b,30,1636,0.1666,903.5336
Praveenkumar Karunakaran,4/13/2026, 8:43:22 AM,gemma4:31b,49,1397,0.1446,903.7002
Praveenkumar Karunakaran,4/13/2026, 8:23:55 AM,qwen3.5:27b,11,103,0.0114,903.8448
Uday Kumar,4/13/2026, 7:47:03 AM,viewpoint-polarion,549,275,0.0824,999.9176
Praveenkumar Karunakaran,4/9/2026, 12:46:33 PM,qwen3.5:27b,11,613,0.0624,903.8562
Praveenkumar Karunakaran,4/9/2026, 12:37:59 PM,qwen3.5:27b,11,477,0.0488,903.9186
open-ui,4/9/2026, 9:42:23 AM,ministral-3:latest,499,79,0.0578,90665.4241
open-ui,4/9/2026, 9:38:04 AM,ministral-3:latest,767,717,0.1484,90665.4819
open-ui,4/9/2026, 9:36:25 AM,ministral-3:latest,9812,1041,1.0853,90665.6303
open-ui,4/9/2026, 9:26:29 AM,ministral-3:latest,6070,60,0.6130,90666.7156
open-ui,4/9/2026, 9:16:19 AM,ministral-3:latest,129,616,0.0745,90667.3286
open-ui,4/9/2026, 9:15:35 AM,ministral-3:latest,6070,77,0.6147,90667.4031
Seema Mathew,4/8/2026, 11:53:23 AM,ministral-3:3b,2884,72,0.2956,991.7173
Seema Mathew,4/8/2026, 11:52:43 AM,ministral-3:3b,2570,15,0.2585,992.0129
Seema Mathew,4/8/2026, 11:51:54 AM,ministral-3:3b,2334,17,0.2351,992.2714
Seema Mathew,4/8/2026, 11:49:03 AM,ministral-3:3b,2073,39,0.2112,992.5065
Seema Mathew,4/8/2026, 11:47:51 AM,ministral-3:3b,1797,27,0.1824,992.7177
Seema Mathew,4/8/2026, 11:46:56 AM,ministral-3:3b,1495,44,0.1539,992.9001
Seema Mathew,4/8/2026, 11:44:52 AM,ministral-3:3b,1469,42,0.1511,993.0540
Seema Mathew,4/8/2026, 10:40:49 AM,ministral-3:3b,1170,52,0.1222,993.2051
Seema Mathew,4/8/2026, 10:40:02 AM,ministral-3:3b,1165,53,0.1218,993.3273
Seema Mathew,4/8/2026, 10:39:00 AM,ministral-3:3b,1165,53,0.1218,993.4491
Seema Mathew,4/8/2026, 10:37:47 AM,ministral-3:3b,1154,53,0.1207,993.5709
Seema Mathew,4/8/2026, 10:34:55 AM,ministral-3:3b,816,98,0.0914,993.6916
Seema Mathew,4/8/2026, 10:33:17 AM,ministral-3:3b,792,99,0.0891,993.7830
Seema Mathew,4/8/2026, 10:31:21 AM,ministral-3:3b,775,99,0.0874,993.8721
Seema Mathew,4/8/2026, 10:30:18 AM,ministral-3:3b,781,113,0.0894,993.9595
Seema Mathew,4/8/2026, 10:29:05 AM,ministral-3:3b,787,122,0.0909,994.0489
Seema Mathew,4/8/2026, 10:28:01 AM,ministral-3:3b,777,108,0.0885,994.1398
Seema Mathew,4/8/2026, 10:26:46 AM,ministral-3:3b,765,109,0.0874,994.2283
Seema Mathew,4/8/2026, 10:15:13 AM,ministral-3:3b,723,121,0.0844,994.3157
Seema Mathew,4/8/2026, 10:13:18 AM,ministral-3:3b,679,230,0.0909,994.4001
Seema Mathew,4/7/2026, 3:26:34 PM,ministral-3:latest,1946,44,0.1990,994.4910
open-ui,4/7/2026, 3:26:34 PM,ministral-3:latest,146,174,0.0320,90668.0178
open-ui,4/7/2026, 3:23:57 PM,qwen3.5:9b,2300,1259,0.3559,90668.0498
open-ui,4/7/2026, 3:15:57 PM,qwen3.5:9b,1562,722,0.2284,90668.4057
open-ui,4/7/2026, 3:14:59 PM,qwen3.5:9b,573,900,0.1473,90668.6341
Praveenkumar Karunakaran,4/7/2026, 11:08:39 AM,qwen3.5:9b,11,259,0.0270,903.9674
open-ui,4/2/2026, 4:02:36 PM,qwen3.5:9b,544,347,0.0891,90668.7814
open-ui,4/2/2026, 4:00:13 PM,qwen3.5:9b,68,453,0.0521,90668.8705
open-ui,4/2/2026, 3:58:42 PM,qwen3.5:9b,349,231,0.0580,90668.9226
open-ui,4/2/2026, 3:52:55 PM,qwen3.5:9b,349,296,0.0645,90668.9806
open-ui,4/2/2026, 3:52:12 PM,qwen3.5:9b,349,276,0.0625,90669.0451
open-ui,4/2/2026, 3:51:53 PM,ministral-3:3b,333,425,0.0758,90669.1076
open-ui,4/2/2026, 3:49:31 PM,qwen3.5:9b,68,309,0.0377,90669.1834
Praveenkumar Karunakaran,4/2/2026, 3:40:27 PM,qwen3.5:9b,11,323,0.0334,903.9944
Seema Mathew,4/2/2026, 12:16:34 PM,ministral-3:latest,549,1366,0.1915,994.6900
open-ui,4/2/2026, 11:51:33 AM,qwen3.5:9b,59,436,0.0495,90669.2211
open-ui,4/1/2026, 12:55:47 PM,qwen3.5:9b,20,427,0.0447,90669.2706
open-ui,3/30/2026, 2:31:47 PM,viewpoint-jira,5197,331,0.1890,90669.3153
open-ui,3/30/2026, 2:30:36 PM,viewpoint-polarion,1004,170,0.1174,90669.5043
open-ui,3/30/2026, 2:24:31 PM,viewpoint-polarion,20,350,0.0370,90669.6217
open-ui,3/30/2026, 1:55:35 PM,viewpoint-polarion,20,398,0.0418,90669.6587
open-ui,3/30/2026, 1:54:53 PM,viewpoint-polarion,24,457,0.0481,90669.7005
open-ui,3/30/2026, 1:53:51 PM,viewpoint-polarion,140,1299,0.1439,90669.7486
open-ui,3/30/2026, 1:36:51 PM,viewpoint-polarion,1468,1253,0.2721,90669.8925
open-ui,3/30/2026, 1:11:38 PM,viewpoint-polarion,708,751,0.1459,90670.1646
open-ui,3/30/2026, 1:10:58 PM,viewpoint-polarion,17,676,0.0693,90670.3105
open-ui,3/30/2026, 12:59:23 PM,viewpoint-polarion,441,1471,0.1912,90670.3798
open-ui,3/30/2026, 12:58:40 PM,viewpoint-polarion,140,447,0.0587,90670.5710
open-ui,3/30/2026, 8:46:10 AM,ministral-3:latest,9,77,0.0086,90670.6297
Praveenkumar Karunakaran,3/27/2026, 11:11:21 AM,qwen3.5:9b,25,4704,0.4729,904.0278
Praveenkumar Karunakaran,3/27/2026, 10:04:16 AM,qwen3.5:9b,11,163,0.0174,904.5007
open-ui,3/24/2026, 7:58:08 AM,ministral-3-nano:3b,402,489,0.0891,90670.6383
Seema Mathew,3/23/2026, 9:14:39 AM,ministral-3:latest,555,219,0.0774,994.8815
open-ui,3/20/2026, 1:26:33 PM,ministral-3-nano:3b,256,127,0.0383,90670.7274
Seema Mathew,3/18/2026, 12:52:09 PM,ministral-3:3b,3052,959,0.4011,994.9589
Seema Mathew,3/18/2026, 8:35:39 AM,ministral-3-nano:3b,4096,836,0.4932,995.3600
open-ui,3/18/2026, 8:33:16 AM,ministral-3-nano:3b,19,5,0.0024,90670.7657
Seema Mathew,3/18/2026, 4:26:06 AM,ministral-3-nano:3b,4096,546,0.4642,995.8532
open-ui,3/13/2026, 10:07:03 AM,gpt-oss-custom:latest,456,1729,0.2185,90670.7681
Seema Mathew,3/13/2026, 6:23:36 AM,ministral-3:latest,4007,995,0.5002,996.3174
Seema Mathew,3/13/2026, 6:21:04 AM,ministral-3:latest,3227,745,0.3972,996.8176
Seema Mathew,3/13/2026, 5:58:59 AM,ministral-3:latest,2188,937,0.3125,997.2148
Seema Mathew,3/13/2026, 5:55:47 AM,ministral-3:latest,1247,859,0.2106,997.5273
Seema Mathew,3/13/2026, 5:50:21 AM,ministral-3:latest,550,266,0.0816,997.7379
Seema Mathew,3/13/2026, 5:47:14 AM,ministral-3:3b,564,404,0.0968,997.8195
open-ui,3/6/2026, 11:44:37 AM,qwen3.5:9b,1221,913,0.2134,90670.9866
open-ui,3/5/2026, 11:05:05 AM,qwen3.5:9b,208,1273,0.1481,90671.2000
Praveenkumar Karunakaran,3/3/2026, 2:00:30 PM,qwen3.5:9b,21,2097,0.2118,904.5181
open-ui,3/3/2026, 10:33:33 AM,qwen3.5:9b,47,716,0.0763,90671.3481
open-ui,3/3/2026, 10:32:00 AM,qwen3.5:9b,20,277,0.0297,90671.4244
open-ui,2/27/2026, 8:51:05 AM,viewpoint-local,5627,869,0.1949,90671.4541
open-ui,2/27/2026, 8:51:05 AM,viewpoint-local,5627,869,0.1949,90671.6490
Praveenkumar Karunakaran,2/26/2026, 1:56:25 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,420,1962,0.2382,904.7299
Praveenkumar Karunakaran,2/17/2026, 9:03:22 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,11,1308,0.1319,904.9681
Philipp A. Baer,2/13/2026, 8:39:24 AM,viewpoint-local,132,1830,0.0589,38.6147
Unknown User,2/9/2026, 12:55:09 PM,qwen3-vl:4b,4034,2785,0.6819,997.2802
Unknown User,2/9/2026, 12:37:15 PM,qwen3-vl:4b,4423,3503,0.7926,997.9621
Unknown User,2/9/2026, 11:46:00 AM,qwen3-vl:4b,4193,2487,0.6680,998.7547
Unknown User,2/9/2026, 11:44:55 AM,qwen3-vl:4b,4016,1757,0.5773,999.4227
Praveenkumar Karunakaran,1/23/2026, 5:12:18 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,8,4235,0.4243,905.1000
Seema Mathew,1/22/2026, 6:06:41 AM,ministral-3:latest,1303,196,0.1499,997.9163
Seema Mathew,1/22/2026, 6:05:03 AM,viewpoint-local,124,169,0.0088,998.0662
Praveenkumar Karunakaran,1/21/2026, 11:39:25 AM,phi4:14b,723,417,0.1140,905.5243
Praveenkumar Karunakaran,1/21/2026, 11:36:46 AM,phi4:14b,71,575,0.0646,905.6383
Praveenkumar Karunakaran,1/14/2026, 3:23:44 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,7956,99,0.8055,905.7029
Praveenkumar Karunakaran,1/14/2026, 3:23:20 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,5517,2427,0.7944,906.5084
Praveenkumar Karunakaran,1/14/2026, 3:21:57 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,3121,2367,0.5488,907.3028
Praveenkumar Karunakaran,1/14/2026, 3:20:50 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,22,3096,0.3118,907.8516
Praveenkumar Karunakaran,1/8/2026, 1:56:07 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,777,3138,0.3915,908.1634
Praveenkumar Karunakaran,1/8/2026, 1:55:45 PM,phi4:14b,758,644,0.1402,908.5549
Praveenkumar Karunakaran,1/8/2026, 1:54:29 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,183,2997,0.3180,908.6951
Praveenkumar Karunakaran,1/8/2026, 1:54:02 PM,phi4:14b,193,472,0.0665,909.0131
Praveenkumar Karunakaran,1/8/2026, 12:14:02 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,8,1461,0.1469,909.0796
Praveenkumar Karunakaran,1/8/2026, 11:14:58 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,2894,4550,0.7444,909.2265
Praveenkumar Karunakaran,1/8/2026, 10:37:51 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,35,2499,0.2534,909.9709
Praveenkumar Karunakaran,1/8/2026, 10:22:49 AM,phi4:14b,1725,1,0.1726,910.2243
Seema Mathew,1/8/2026, 9:38:55 AM,ministral-3:latest,3424,759,0.4183,998.0750
Seema Mathew,1/8/2026, 9:38:16 AM,viewpoint-local,2842,9243,0.3626,998.4933
Seema Mathew,1/8/2026, 9:35:58 AM,DeepSeek-R1-Distill-Qwen-7B:latest,2810,1348,0.4158,998.8559
Seema Mathew,1/8/2026, 9:33:53 AM,ministral-3:latest,3424,924,0.4348,999.2717
Seema Mathew,1/8/2026, 9:31:36 AM,phi4-mini:3.8b,2717,218,0.2935,999.7065
Praveenkumar Karunakaran,1/7/2026, 11:56:08 AM,mistral-small-2506:latest,4096,409,0.4505,910.3969
Praveenkumar Karunakaran,1/7/2026, 9:14:11 AM,DeepSeek-R1-Distill-Qwen-7B:latest,18,1543,0.1561,910.8474
Praveenkumar Karunakaran,1/7/2026, 9:13:20 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,8236,71,0.8307,911.0035
Praveenkumar Karunakaran,1/7/2026, 9:12:47 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,8010,213,0.8223,911.8342
Praveenkumar Karunakaran,1/7/2026, 9:10:32 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,3596,4401,0.7997,912.6565
Praveenkumar Karunakaran,1/7/2026, 9:07:08 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,37,3546,0.3583,913.4562
Praveenkumar Karunakaran,1/5/2026, 2:27:30 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,20,3606,0.3626,913.8145
Praveenkumar Karunakaran,1/5/2026, 12:50:48 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,2973,2542,0.5515,914.1771
Praveenkumar Karunakaran,1/5/2026, 12:50:32 PM,DeepSeek-R1-Distill-Qwen-7B:latest,1537,1257,0.2794,914.7286
Praveenkumar Karunakaran,1/5/2026, 12:44:46 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,1078,1691,0.2769,915.0080
Praveenkumar Karunakaran,1/5/2026, 12:44:42 PM,DeepSeek-R1-Distill-Qwen-7B:latest,573,889,0.1462,915.2849
Praveenkumar Karunakaran,1/5/2026, 12:42:31 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,11,3692,0.3703,915.4311
Praveenkumar Karunakaran,1/5/2026, 12:42:02 PM,DeepSeek-R1-Distill-Qwen-7B:latest,14,945,0.0959,915.8014
Praveenkumar Karunakaran,1/5/2026, 12:17:38 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,6,2469,0.2475,915.8973
Praveenkumar Karunakaran,1/2/2026, 2:45:19 PM,DeepSeek-R1-Distill-Qwen-7B:latest,4096,1800,0.5896,916.1448
Praveenkumar Karunakaran,1/2/2026, 2:39:54 PM,DeepSeek-R1-Distill-Qwen-7B:latest,4096,1132,0.5228,916.7344
Praveenkumar Karunakaran,1/2/2026, 2:36:18 PM,DeepSeek-R1-Distill-Qwen-7B:latest,3393,1149,0.4542,917.2572
Praveenkumar Karunakaran,1/2/2026, 2:35:51 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,8216,163,0.8379,917.7114
Praveenkumar Karunakaran,1/2/2026, 2:34:21 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,7969,225,0.8194,918.5493
Praveenkumar Karunakaran,1/2/2026, 2:33:38 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,7969,230,0.8199,919.3687
Praveenkumar Karunakaran,1/2/2026, 2:16:45 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,4376,3583,0.7959,920.1886
Praveenkumar Karunakaran,1/2/2026, 2:11:22 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,7690,79,0.7769,920.9845
Praveenkumar Karunakaran,1/2/2026, 2:11:05 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,3307,4376,0.7683,921.7614
Praveenkumar Karunakaran,1/2/2026, 1:46:13 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,294,929,0.1223,922.5297
Praveenkumar Karunakaran,1/2/2026, 1:45:26 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,5,278,0.0283,922.6520
Praveenkumar Karunakaran,1/2/2026, 11:56:30 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,8,2693,0.2701,922.6803
Praveenkumar Karunakaran,12/23/2025, 3:02:19 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,18,2632,0.2650,922.9504
Martin Haunschild,12/22/2025, 11:08:22 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,5418,3259,0.8677,996.6416
Martin Haunschild,12/22/2025, 10:59:17 AM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,20,5367,0.5387,997.5093
Praveenkumar Karunakaran,12/19/2025, 1:15:05 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,7895,571,0.8466,923.2154
Praveenkumar Karunakaran,12/19/2025, 1:08:55 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,5135,2752,0.7887,924.0620
Praveenkumar Karunakaran,12/18/2025, 3:31:23 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,12,4607,0.4619,924.8507
Praveenkumar Karunakaran,12/18/2025, 3:23:55 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,1904,4158,0.6062,925.3126
Praveenkumar Karunakaran,12/18/2025, 3:22:52 PM,SmolLM3-3B:latest,1792,58,0.1850,925.9188
Praveenkumar Karunakaran,12/18/2025, 3:21:59 PM,SmolLM3-3B:latest,1016,753,0.1769,926.1038
Praveenkumar Karunakaran,12/18/2025, 3:20:43 PM,SmolLM3-3B:latest,933,60,0.0993,926.2807
Praveenkumar Karunakaran,12/18/2025, 3:15:47 PM,SmolLM3-3B:latest,4096,701,0.4797,926.3800
Praveenkumar Karunakaran,12/18/2025, 3:15:11 PM,SmolLM3-3B:latest,1336,165,0.1501,926.8597
Praveenkumar Karunakaran,12/17/2025, 3:42:40 PM,phi4:14b,3554,552,0.4106,927.0098
Praveenkumar Karunakaran,12/17/2025, 3:03:16 PM,phi4:14b,1885,734,0.2619,927.4204
Praveenkumar Karunakaran,12/17/2025, 3:02:37 PM,phi4:14b,1380,484,0.1864,927.6823
Praveenkumar Karunakaran,12/17/2025, 3:01:18 PM,phi4:14b,780,566,0.1346,927.8687
Praveenkumar Karunakaran,12/17/2025, 3:01:02 PM,phi4:14b,125,640,0.0765,928.0033
Praveenkumar Karunakaran,12/17/2025, 2:12:16 PM,phi4:14b,3761,708,0.4469,928.0798
Praveenkumar Karunakaran,12/17/2025, 2:10:57 PM,phi4:14b,3618,808,0.4426,928.5267
Praveenkumar Karunakaran,12/17/2025, 2:09:39 PM,phi4:14b,3589,630,0.4219,928.9693
Praveenkumar Karunakaran,12/17/2025, 2:07:33 PM,phi4:14b,2827,700,0.3527,929.3912
Praveenkumar Karunakaran,12/17/2025, 2:03:38 PM,phi4:14b,2067,708,0.2775,929.7439
Praveenkumar Karunakaran,12/17/2025, 2:01:07 PM,phi4:14b,1405,640,0.2045,930.0214
Praveenkumar Karunakaran,12/17/2025, 1:58:51 PM,phi4:14b,652,674,0.1326,930.2259
Praveenkumar Karunakaran,12/17/2025, 1:58:15 PM,phi4:14b,31,605,0.0636,930.3585
Praveenkumar Karunakaran,12/17/2025, 10:55:08 AM,phi4:14b,3730,610,0.4340,930.4221
Praveenkumar Karunakaran,12/17/2025, 10:54:31 AM,phi4:14b,3530,781,0.4311,930.8561
Praveenkumar Karunakaran,12/17/2025, 10:53:57 AM,phi4:14b,2506,884,0.3390,931.2872
Praveenkumar Karunakaran,12/17/2025, 10:52:39 AM,phi4:14b,1673,800,0.2473,931.6262
Praveenkumar Karunakaran,12/17/2025, 10:49:26 AM,phi4:14b,730,786,0.1516,931.8735
Praveenkumar Karunakaran,12/17/2025, 10:42:30 AM,phi4:14b,173,535,0.0708,932.0251
Praveenkumar Karunakaran,12/17/2025, 10:18:50 AM,phi4:14b,35,696,0.0731,932.0959
Praveenkumar Karunakaran,12/17/2025, 10:17:11 AM,phi4:14b,3093,663,0.3756,932.1690
Praveenkumar Karunakaran,12/16/2025, 4:21:25 PM,phi4:14b,30,874,0.0904,932.5446
open-ui,12/16/2025, 2:10:29 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,1698,469,0.2167,90671.8439
Praveenkumar Karunakaran,12/16/2025, 2:05:35 PM,phi4:14b,26,804,0.0830,932.6350
open-ui,12/16/2025, 1:57:56 PM,ministral-3:latest,60,821,0.0881,90672.0606
open-ui,12/16/2025, 1:57:43 PM,ministral-3:latest,10,41,0.0051,90672.1487
open-ui,12/16/2025, 1:57:14 PM,ministral-3:latest,955,592,0.1547,90672.1538
Praveenkumar Karunakaran,12/16/2025, 1:50:33 PM,Qwen3-4B-toolcalling:latest,68,34,0.0102,932.7180
Praveenkumar Karunakaran,12/16/2025, 1:50:15 PM,Qwen3-4B-toolcalling:latest,20,22,0.0042,932.7282
Praveenkumar Karunakaran,12/16/2025, 1:49:53 PM,Qwen3-4B-toolcalling:latest,579,24,0.0603,932.7324
Praveenkumar Karunakaran,12/16/2025, 1:49:53 PM,phi4:14b,548,402,0.0950,932.7927
Praveenkumar Karunakaran,12/16/2025, 1:49:42 PM,ministral-3:latest,1074,167,0.1241,932.8877
Praveenkumar Karunakaran,12/16/2025, 1:48:52 PM,Qwen3-4B-toolcalling:latest,4096,25,0.4121,933.0118
Praveenkumar Karunakaran,12/16/2025, 1:47:59 PM,ministral-3:latest,573,24,0.0597,933.4239
Praveenkumar Karunakaran,12/16/2025, 1:47:57 PM,phi4:14b,51,24,0.0075,933.4836
Praveenkumar Karunakaran,12/16/2025, 1:46:18 PM,phi4:14b,11,28,0.0039,933.4911
open-ui,12/16/2025, 1:39:31 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,125,919,0.1044,90672.3085
open-ui,12/16/2025, 1:39:16 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,3,112,0.0115,90672.4129
open-ui,12/16/2025, 1:36:14 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,1,45,0.0046,90672.4244
open-ui,12/16/2025, 1:23:23 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,374,2564,0.2938,90672.4290
open-ui,12/16/2025, 12:52:40 PM,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,1,325,0.0326,90672.7228
open-ui,12/16/2025, 12:52:14 PM,ministral-3:latest,2522,767,0.3289,90672.7554
Praveenkumar Karunakaran,12/16/2025, 12:12:07 PM,ministral-3:latest,555,1059,0.1614,933.4950
Martin Haunschild,12/12/2025, 1:44:14 PM,ministral-3:latest,2485,807,0.3292,998.0480
Praveenkumar Karunakaran,12/12/2025, 11:57:18 AM,Qwen3-30B-A3B:latest,2809,1257,0.4066,933.6564
Praveenkumar Karunakaran,12/12/2025, 11:52:57 AM,Qwen3-30B-A3B:latest,1431,1236,0.2667,934.0630
Praveenkumar Karunakaran,12/12/2025, 11:51:25 AM,Qwen3-30B-A3B:latest,252,1117,0.1369,934.3297
Praveenkumar Karunakaran,12/11/2025, 3:56:27 PM,Qwen3-30B-A3B:latest,3229,1518,0.4747,934.4666
Praveenkumar Karunakaran,12/11/2025, 3:54:16 PM,Qwen3-30B-A3B:latest,3296,1366,0.4662,934.9413
Praveenkumar Karunakaran,12/11/2025, 3:46:51 PM,Qwen3-30B-A3B:latest,1560,1656,0.3216,935.4075
Praveenkumar Karunakaran,12/11/2025, 3:45:53 PM,Qwen3-30B-A3B:latest,140,1308,0.1448,935.7291
Praveenkumar Karunakaran,12/11/2025, 3:39:36 PM,Qwen3-30B-A3B:latest,3103,1471,0.4574,935.8739
Praveenkumar Karunakaran,12/11/2025, 3:10:36 PM,Qwen3-30B-A3B:latest,1457,1620,0.3077,936.3313
Praveenkumar Karunakaran,12/11/2025, 3:04:34 PM,Qwen3-30B-A3B:latest,18,1378,0.1396,936.6390
Praveenkumar Karunakaran,12/11/2025, 12:00:22 PM,Qwen3-30B-A3B:latest,4033,1883,0.5916,936.7786
Praveenkumar Karunakaran,12/11/2025, 11:47:24 AM,Qwen3-30B-A3B:latest,2751,1245,0.3996,937.3702
Praveenkumar Karunakaran,12/11/2025, 11:45:54 AM,Qwen3-30B-A3B:latest,1167,1472,0.2639,937.7698
Praveenkumar Karunakaran,12/11/2025, 11:42:53 AM,Qwen3-30B-A3B:latest,48,1096,0.1144,938.0337
Praveenkumar Karunakaran,12/11/2025, 11:24:22 AM,Qwen3-30B-A3B:latest,16,2625,0.2641,938.1481
Praveenkumar Karunakaran,12/11/2025, 9:37:48 AM,Qwen3-30B-A3B:latest,21,882,0.0903,938.4122
Praveenkumar Karunakaran,12/11/2025, 9:17:23 AM,Qwen3-30B-A3B:latest,27,1347,0.1374,938.5025
Praveenkumar Karunakaran,12/10/2025, 5:50:36 PM,Qwen3-30B-A3B:latest,3615,794,0.4409,938.6399
Praveenkumar Karunakaran,12/10/2025, 5:49:55 PM,Qwen3-30B-A3B:latest,3434,1298,0.4732,939.0808
Praveenkumar Karunakaran,12/10/2025, 5:48:28 PM,Qwen3-30B-A3B:latest,2835,1276,0.4111,939.5540
Praveenkumar Karunakaran,12/10/2025, 5:47:40 PM,Qwen3-30B-A3B:latest,3346,974,0.4320,939.9651
Praveenkumar Karunakaran,12/10/2025, 5:46:27 PM,Qwen3-30B-A3B:latest,2525,672,0.3197,940.3971
Praveenkumar Karunakaran,12/10/2025, 5:44:47 PM,Qwen3-30B-A3B:latest,3637,1499,0.5136,940.7168
Praveenkumar Karunakaran,12/10/2025, 5:43:05 PM,ministral-3:latest,2618,1821,0.4439,941.2304
Praveenkumar Karunakaran,12/10/2025, 5:40:03 PM,ministral-3:latest,1663,926,0.2589,941.6743
Praveenkumar Karunakaran,12/10/2025, 5:38:46 PM,ministral-3:latest,554,1083,0.1637,941.9332
Praveenkumar Karunakaran,12/10/2025, 5:23:20 PM,Qwen3-30B-A3B:latest,1811,1192,0.3003,942.0969
Praveenkumar Karunakaran,12/10/2025, 5:22:01 PM,Qwen3-30B-A3B:latest,4041,1760,0.5801,942.3972
Praveenkumar Karunakaran,12/10/2025, 5:17:54 PM,Qwen3-30B-A3B:latest,1707,2312,0.4019,942.9773
Praveenkumar Karunakaran,12/10/2025, 5:12:49 PM,Qwen3-30B-A3B:latest,2467,1649,0.4116,943.3792
Praveenkumar Karunakaran,12/10/2025, 5:11:01 PM,Qwen3-30B-A3B:latest,2117,2424,0.4541,943.7908
Praveenkumar Karunakaran,12/10/2025, 5:08:41 PM,Qwen3-30B-A3B:latest,3805,2092,0.5897,944.2449
Praveenkumar Karunakaran,12/10/2025, 3:41:38 PM,Qwen3-30B-A3B:latest,1631,1258,0.2889,944.8346
Praveenkumar Karunakaran,12/10/2025, 3:41:10 PM,Qwen3-30B-A3B:latest,102,1500,0.1602,945.1235
Praveenkumar Karunakaran,12/10/2025, 3:04:45 PM,Qwen3-30B-A3B:latest,3958,2119,0.6077,945.2837
Praveenkumar Karunakaran,12/10/2025, 3:03:35 PM,Qwen3-30B-A3B:latest,2613,1303,0.3916,945.8914
Praveenkumar Karunakaran,12/10/2025, 3:02:21 PM,Qwen3-30B-A3B:latest,4096,2579,0.6675,946.2830
Praveenkumar Karunakaran,12/10/2025, 2:58:25 PM,Qwen3-30B-A3B:latest,45,2586,0.2631,946.9505
Praveenkumar Karunakaran,12/10/2025, 11:19:32 AM,Qwen3-30B-A3B:latest,1686,471,0.2157,947.2136
Praveenkumar Karunakaran,12/10/2025, 11:16:07 AM,Qwen3-30B-A3B:latest,1378,278,0.1656,947.4293
Praveenkumar Karunakaran,12/10/2025, 11:14:11 AM,Qwen3-30B-A3B:latest,2805,1293,0.4098,947.5949
